Record Id,Project Title,Grant Number,Grant Funds,Related Grantees,Grantee Contact,Project Local Jurisdiction,City,Zip,Total Eligbile Improvement Costs,Transit Infrastructure Fund Assistnace,Agreement,Agreement URL,Created By
1,Main St Improvements,21-3608,227295.00,1,Addyston Test,Addyston,Addyston,45201,227295,227295,2025+-+Round+5+Transit+Infrastructure+Grant+Agreement+1.docx,https://apps.opengov.com/apps/guuj01sg1/tables/iw3twwkw2/file-view/1/gklgmtdq3,marcus@yinconsulting.io
2,Elston Rd Improvements,21-3616,306472.00,2,Anderson Township Test,Anderson Township,Anderson Township,45201,306472,306472,2025+-+Round+5+Transit+Infrastructure+Grant+Agreement+1.docx,https://apps.opengov.com/apps/guuj01sg1/tables/iw3twwkw2/file-view/2/gklgmtdq3,marcus@yinconsulting.io
3,Beechmont Ave.,22-3756,141708.00,2,Anderson Township Test,Anderson Township,Anderson Township,45201,141708,141708,,,marcus@yinconsulting.io
4,Five Mile Road & Towne Center Way,23-3920,236115.24,2,Anderson Township Test,Anderson Township,Anderson Township,45201,236115.24,236115.24,,,marcus@yinconsulting.io
5,Western Hills Via Duct,21-3593,205000000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,205000000,205000000,,,marcus@yinconsulting.io
6,River Rd Improvements,21-CI-3612,2725000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,2725000,2725000,,,marcus@yinconsulting.io
7,Warsaw Ave Improvements,21-CI-3595,2125000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,2125000,2125000,,,marcus@yinconsulting.io
8,Beekman Ave Improvements,21-CI-3598,1460000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,1460000,1460000,,,marcus@yinconsulting.io
9,Paxton Ave Rehab,21-CI-3597,900000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,900000,900000,,,marcus@yinconsulting.io
10,CTC OTR Fiber Project,22-3734,5250000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,5250000,5250000,,,marcus@yinconsulting.io
11,River Rd Rehab-Anderson Ferry Road to Dart St,22-3767,2316119.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,2316119,2316119,,,marcus@yinconsulting.io
12,Jefferson Ave. Rehabilitation,22-3738,2400000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,2400000,2400000,,,marcus@yinconsulting.io
13,Erie & Rosslyn Improvements,22-3742,2160000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,2160000,2160000,,,marcus@yinconsulting.io
14,Fairbanks Ave & Delhi Ave Safety Project,22-3747,1680000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,1680000,1680000,,,marcus@yinconsulting.io
15,7th & Vine St. Improvements,22-3741,1280000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,1280000,1280000,,,marcus@yinconsulting.io
16,Art Museum Dr.,22-3757,1127651.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,1127651,1127651,,,marcus@yinconsulting.io
17,2nd St. East Approach Bridge Rehabilitatoin,22-3752,495392.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,495392,495392,,,marcus@yinconsulting.io
